strSD			strLD			strED			strHS			strLTD
Normal
31/07/2005 12:51:51	03/08/2005 07:46:44	03/08/2005 06:48:55	02/01/2000 00:01:00	03/08/2005 07:46:44	ST
31/07/2005 12:51:51	03/08/2005 07:47:06	03/08/2005 06:48:55	02/01/2000 00:01:00	03/08/2005 07:47:06	AF 2/1 day(s)
31/07/2005 12:51:51	03/08/2005 07:47:06	03/08/2005 06:48:55	02/01/2000 00:01:00	03/08/2005 07:47:06	ST
31/07/2005 12:51:51	03/08/2005 07:47:42	03/08/2005 06:48:55	02/01/2000 00:01:00	03/08/2005 07:47:42	AF 2/1 day(s)
31/07/2005 12:51:51	03/08/2005 07:47:42	03/08/2005 06:48:55	02/01/2000 00:01:00	03/08/2005 07:47:42	ST
31/07/2005 12:51:51	03/08/2005 07:48:41	03/08/2005 06:48:55	02/01/2000 00:01:00	03/08/2005 07:48:41	AF 2/1 day(s)
31/07/2005 12:51:51	03/08/2005 07:48:41	03/08/2005 06:48:55	02/01/2000 00:01:00	03/08/2005 07:48:41	ST
31/07/2005 12:51:51	15/08/2005 07:36:43	15/08/2005 05:56:12	03/01/2000 00:01:00	15/08/2005 07:36:43	AF 14/2 day(s)
31/07/2005 12:51:51	15/08/2005 07:36:43	15/08/2005 05:56:12	03/01/2000 00:01:00	15/08/2005 07:36:43	ST
31/07/2005 12:51:51	15/08/2005 07:36:43	15/08/2005 05:56:12	03/01/2000 00:01:00	15/08/2005 07:36:43	ST
31/07/2005 12:51:51	23/08/2005 17:05:55	23/08/2005 07:49:13	03/01/2000 00:01:00	23/08/2005 17:05:55	AF 23/2 day(s)
31/07/2005 12:51:51	23/08/2005 17:05:55	23/08/2005 07:49:13	03/01/2000 00:01:00	23/08/2005 17:05:55	ST
31/07/2005 12:51:51	23/08/2005 17:05:55	23/08/2005 07:49:13	03/01/2000 00:01:00	23/08/2005 17:05:55	B4
31/07/2005 12:51:51	23/08/2005 17:07:29	23/08/2005 07:49:13	03/01/2000 00:01:00	23/08/2005 17:07:29	AF 23/2 day(s)
